Search_Query,Title,Description,Link
apple,Apple Inc. - Wikipedia,"Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market ...",https://en.wikipedia.org/wiki/Apple_Inc.
apple,Apple - Wikipedia,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the ...,https://en.wikipedia.org/wiki/Apple
apple,MacRumors: Apple News and Rumors,"  Apple will cancel or postpone mass production for the planned 2024 iPhone SE 4, Apple analyst Ming-Chi Kuo said today in a series of tweets.",https://www.macrumors.com/
apple,Apple - Twitter,"Cupertino, CA Joined September 2011. 0 Following · 8.8M Followers · Tweets · Tweets & replies · Media · Likes. @Apple hasn't Tweeted.",https://twitter.com/apple
apple,"Apple | AAPL Stock Price, Company Overview & News","Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of ...",https://www.forbes.com/companies/apple/
ball,Ball - Wikipedia,"A ball is a round object with several uses. It is used in ball games, where the play of the game follows the state of the ball as it is hit, ...",https://en.wikipedia.org/wiki/Ball
ball,ball - Wiktionary,"A solid or hollow sphere, or roughly spherical mass. ... A quantity of string, thread, etc., wound into a spherical shape. ... (mathematics) Homologue or analogue ...",https://en.wiktionary.org/wiki/ball
ball,BALL | English meaning - Cambridge Dictionary,"  in football, a pass from one player to another: Long picked up a great ball from Campbell and rounded the keeper to score.",https://dictionary.cambridge.org/dictionary/english/ball
ball,Welcome to BALL Watch,COMPANY · □ COLLECTIONS · □ EXPLORERS CLUB · □ TECHNOLOGY · □ RETAILERS · □ CUSTOMER SERVICE · □ WISH LIST · □ SHOP ONLINE.,https://www.ballwatch.com/
ball,Ball definition and meaning | Collins English Dictionary,"1. any round, or spherical, object; sphere; globe · 2. a planet or star, esp. the earth · 3. a. a round or egg-shaped object used in various games · 4. a throw or ...",https://www.collinsdictionary.com/dictionary/english/ball
cat,Cat - Wikipedia,The cat (Felis catus) is a domestic species of small carnivorous mammal. ... It is the only domesticated species in the family Felidae and is commonly referred to ...,https://en.wikipedia.org/wiki/Cat
cat,Cat.com Global Selector: Language & Region,Select your region and language for www.cat.com to view the most relevant products and services in your area of the world.,https://www.cat.com/
cat,Cat | Breeds & Facts - Encyclopedia Britannica,"  cat, (Felis catus), also called house cat or domestic cat, domesticated member of the family Felidae, order Carnivora, and the smallest ...",https://www.britannica.com/animal/cat
cat,Domestic cat - National Geographic,"As mostly nocturnal animals, cats have excellent vision and hearing, with ears that can turn like satellite dishes. Their reputation for having nine lives stems ...",https://www.nationalgeographic.com/animals/mammals/facts/domestic-cat
cat,CAT 2022,Welcome to Common Admission Test 2022 (CAT 2022). Search Results. ANNOUNCEMENTS. New The CAT Committee has decided that two questions from the DILR section ...,https://iimcat.ac.in/
dog,Dog - Wikipedia,"The dog is a domesticated descendant of the wolf. Also called the domestic dog, it is derived from the extinct Pleistocene wolf, and the modern wolf is the ...",https://en.wikipedia.org/wiki/Dog
dog,"Dog | History, Domestication, Physical Traits, Breeds, & Facts","dog, (Canis lupus familiaris), domestic mammal of the family Canidae (order Carnivora). It is a subspecies of the gray wolf (Canis lupus) and is related to ...",https://www.britannica.com/animal/dog
dog,"Dog, facts and photos - National Geographic","The term “domestic dog” refers to any of several hundred breeds of dog in the world today. While these animals vary drastically in appearance, ...",https://www.nationalgeographic.com/animals/mammals/facts/domestic-dog
dog,Dog Breeds - Types Of Dogs - American Kennel Club,"  Complete list of AKC recognized dog breeds. Includes personality, history, health, nutrition, grooming, pictures, videos and AKC breed ...",https://www.akc.org/dog-breeds/
dog,Dog (2022) - IMDb,"Dog: Directed by Reid Carolin, Channing Tatum. With Channing Tatum, Ryder McLaughlin, Aavi Haas, Luke Forbes. Two former Army Rangers are paired against ...",https://www.imdb.com/title/tt11252248/
elephant,Elephant - Wikipedia,"Elephants are the largest existing land animals. Three living species are currently recognised: the African bush elephant, the African forest elephant, ...",https://en.wikipedia.org/wiki/Elephant
elephant,Elephant | Species - WWF,"Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks. They use their trunks to pick up objects, ...",https://www.worldwildlife.org/species/elephant
elephant,"African elephant, facts and photos - National Geographic",African elephants are the largest land animals on Earth. They are slightly larger than their Asian cousins and can be identified by their larger ears that ...,https://www.nationalgeographic.com/animals/mammals/facts/african-elephant
elephant,"Elephant | Description, Habitat, Scientific Names, Weight ...","  elephant, (family Elephantidae), largest living land animal, characterized by its long trunk (elongated upper lip and nose), columnar legs, ...",https://www.britannica.com/animal/elephant-mammal
elephant,Our top 10 facts about elephants - WWF-UK,"The African Savanna (Bush) elephant is the world's largest land animal – with adult males, or bull elephants, standing up to 3m high and weighing up to ...",https://www.wwf.org.uk/learn/fascinating-facts/elephants
