Index,Topic,Value
1.1.1,Search_Query,apple
1.1.2,Title,Apple Inc. - Wikipedia
1.1.3,Description,"Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market ..."
1.1.4,Link,https://en.wikipedia.org/wiki/Apple_Inc.
1.2.1,Search_Query,apple
1.2.2,Title,Apple - Wikipedia
1.2.3,Description,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the ...
1.2.4,Link,https://en.wikipedia.org/wiki/Apple
1.3.1,Search_Query,apple
1.3.2,Title,MacRumors: Apple News and Rumors
1.3.3,Description,"  Apple will cancel or postpone mass production for the planned 2024 iPhone SE 4, Apple analyst Ming-Chi Kuo said today in a series of tweets."
1.3.4,Link,https://www.macrumors.com/
1.4.1,Search_Query,apple
1.4.2,Title,Apple - Twitter
1.4.3,Description,"Cupertino, CA Joined September 2011. 0 Following · 8.8M Followers · Tweets · Tweets & replies · Media · Likes. @Apple hasn't Tweeted."
1.4.4,Link,https://twitter.com/apple
1.5.1,Search_Query,apple
1.5.2,Title,"Apple | AAPL Stock Price, Company Overview & News"
1.5.3,Description,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of ..."
1.5.4,Link,https://www.forbes.com/companies/apple/
2.1.1,Search_Query,ball
2.1.2,Title,Ball - Wikipedia
2.1.3,Description,"A ball is a round object with several uses. It is used in ball games, where the play of the game follows the state of the ball as it is hit, ..."
2.1.4,Link,https://en.wikipedia.org/wiki/Ball
2.2.1,Search_Query,ball
2.2.2,Title,ball - Wiktionary
2.2.3,Description,"A solid or hollow sphere, or roughly spherical mass. ... A quantity of string, thread, etc., wound into a spherical shape. ... (mathematics) Homologue or analogue ..."
2.2.4,Link,https://en.wiktionary.org/wiki/ball
2.3.1,Search_Query,ball
2.3.2,Title,BALL | English meaning - Cambridge Dictionary
2.3.3,Description,"  in football, a pass from one player to another: Long picked up a great ball from Campbell and rounded the keeper to score."
2.3.4,Link,https://dictionary.cambridge.org/dictionary/english/ball
2.4.1,Search_Query,ball
2.4.2,Title,Welcome to BALL Watch
2.4.3,Description,COMPANY · □ COLLECTIONS · □ EXPLORERS CLUB · □ TECHNOLOGY · □ RETAILERS · □ CUSTOMER SERVICE · □ WISH LIST · □ SHOP ONLINE.
2.4.4,Link,https://www.ballwatch.com/
